Name of Publication,Publication Link,Date of Publish,CU Author,Pureportal Profile Link
,,,,
A Comparison of Physical Activity Between Home-Based and Centre-Based Pulmonary Rehabilitation: A Randomised Controlled Secondary Analysis,https://pureportal.coventry.ac.uk/en/publications/a-comparison-of-physical-activity-between-home-based-and-centre-b,26-Oct-21,"['Horton, E.', 'Sewell, L.']","['https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton', 'https://pureportal.coventry.ac.uk/en/persons/louise-sewall']"
,,,,
Actual and perceived motor competence mediate the relationship between physical fitness and technical skill performance in young soccer players,https://pureportal.coventry.ac.uk/en/publications/actual-and-perceived-motor-competence-mediate-the-relationship-be,11-Jul-21,"['Duncan, M.', 'Eyre, E.', 'Noon, M.', 'Morris, R.', 'Thake, C. D.', 'Clarke, N.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/mark-noon', 'https://pureportal.coventry.ac.uk/en/persons/rhys-morris', 'https://pureportal.coventry.ac.uk/en/persons/doug-thake', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke']"
,,,,
"Acute Hormonal Response to Kettlebell Swing Exercise Differs Depending on Load, Even When Total Work Is Normalized",https://pureportal.coventry.ac.uk/en/publications/acute-hormonal-response-to-kettlebell-swing-exercise-differs-depe,01-Apr-21,"['Renshaw, D.', 'Duncan, M.']","['https://pureportal.coventry.ac.uk/en/persons/derek-renshaw', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
Associations Between Self-Reported Sleep Duration and Mortality in Employed Individuals: Systematic Review and Meta-Analysis,https://pureportal.coventry.ac.uk/en/publications/associations-between-self-reported-sleep-duration-all-cause-and-c,Jul-21,"['Roden, L. C.']",['https://pureportal.coventry.ac.uk/en/persons/laura-roden']
,,,,
Blood cancer care in a resource limited setting during the Covid-19 outbreak; a single center experience from Sri Lanka,https://pureportal.coventry.ac.uk/en/publications/blood-cancer-care-in-a-resource-limited-setting-during-the-covid-,17-Sep-21,"['Lin, T. T.']",['https://pureportal.coventry.ac.uk/en/persons/thet-thet-lin']
